输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
512.0,1024.0,1,79.0548,56.7884,63.0943,63.795,47.164,12.8335,14.5087,31.3846,12.6147
512.0,1024.0,4,244.6685,138.9368,225.2295,225.299,98.9822,16.8572,19.7006,30.9828,16.235
512.0,1024.0,8,428.6299,2622.5679,2623.5639,2623.6742,537.9423,18.4357,20.7878,286.5396,18.0847
512.0,1024.0,16,671.2731,275.0802,277.1605,277.3946,152.5323,24.4406,25.8764,39.6919,23.692
512.0,1024.0,24,885.4149,356.6421,359.0833,359.7825,199.4933,28.3325,29.6971,43.1506,26.9184
512.0,1024.0,32,1069.0564,2099.742,2103.82,2105.4326,582.6983,30.3474,32.462,44.7044,29.3573
512.0,1024.0,40,1268.5866,459.1957,2936.6785,2947.131,331.3449,31.8127,33.3379,52.1604,30.8082
512.0,1024.0,50,1419.009,470.1349,637.0164,646.8768,307.1014,36.3005,38.2129,53.9452,34.8903
512.0,1024.0,64,1830.9174,481.3976,735.0353,747.2701,351.4096,35.8849,37.3886,234.7543,34.5562
512.0,1024.0,72,1920.4985,542.571,823.788,836.0142,356.6843,38.367,40.5365,58.1018,37.0724
512.0,1024.0,96,2461.7551,800.8175,1074.6176,1076.293,439.7977,39.959,41.7638,59.825,38.4227
512.0,1024.0,112,2811.4676,1022.3056,1318.1851,1381.0216,527.977,40.8124,42.6789,59.3102,39.122
512.0,1024.0,128,3083.8732,1036.971,1351.5469,1383.4242,550.3818,42.3721,49.9772,70.0763,40.6757
512.0,1024.0,156,3200.4706,1164.106,1588.1195,1590.7376,676.0855,47.5284,50.5845,4166.5428,46.3571
512.0,1024.0,200,3295.7256,1376.3212,1961.7316,1967.2319,937.3967,50.8377,63.0125,18268.8024,50.6541
512.0,1024.0,256,3398.1978,4721.7601,5108.4811,5117.3983,1953.2059,53.694,80.9575,30944.2638,57.5048